Counter Logic Gaming,NA,Irelia,95
Counter Logic Gaming,NA,Cassiopeia,95
Counter Logic Gaming,NA,Hecarim,95
Apex Gaming,NA,Karma,95
Apex Gaming,NA,Sivir,95
Apex Gaming,NA,Malzahar,95
Team SoloMid,NA,Twitch,96
Team SoloMid,NA,Illaoi,96
Team SoloMid,NA,Malzahar,96
NRG Esports,NA,Shen,96
NRG Esports,NA,Sivir,96
NRG Esports,NA,Vladimir,96
Apex Gaming,NA,Karma,97
Apex Gaming,NA,Malzahar,97
Apex Gaming,NA,Gangplank,97
Counter Logic Gaming,NA,Hecarim,97
Counter Logic Gaming,NA,Sivir,97
Counter Logic Gaming,NA,Irelia,97
NRG Esports,NA,Shen,98
NRG Esports,NA,Bard,98
NRG Esports,NA,Vladimir,98
Team SoloMid,NA,Twitch,98
Team SoloMid,NA,Malzahar,98
Team SoloMid,NA,Illaoi,98
Counter Logic Gaming,NA,Hecarim,99
Counter Logic Gaming,NA,Vladimir,99
Counter Logic Gaming,NA,Irelia,99
Apex Gaming,NA,Karma,99
Apex Gaming,NA,Sivir,99
Apex Gaming,NA,Malzahar,99
Team SoloMid,NA,Twitch,100
Team SoloMid,NA,Malzahar,100
Team SoloMid,NA,Illaoi,100
NRG Esports,NA,Sivir,100
NRG Esports,NA,Karma,100
NRG Esports,NA,Bard,100
Phoenix1,NA,Rumble,101
Phoenix1,NA,Taliyah,101
Phoenix1,NA,Nidalee,101
Immortals,NA,Mordekaiser,101
Immortals,NA,Shen,101
Immortals,NA,Trundle,101
Echo Fox,NA,Zilean,102
Echo Fox,NA,Irelia,102
Echo Fox,NA,Ashe,102
Cloud9,NA,Malzahar,102
Cloud9,NA,Vladimir,102
Cloud9,NA,Sivir,102
Immortals,NA,Shen,103
Immortals,NA,Mordekaiser,103
Immortals,NA,Trundle,103
Phoenix1,NA,Rumble,103
Phoenix1,NA,Taliyah,103
Phoenix1,NA,Malzahar,103
Cloud9,NA,Anivia,104
